timestamp,arrival,departure,name,link1tt,link2tt,link3tt,link4tt,origin,destination,arrival_orig
2013-01-26 06:30:00,2013-01-26 06:30:00,2013-01-26 12:00:00,1167,0,0,0,0,1,14,2013-01-26 06:30:00
2013-01-26 15:00:00,2013-01-26 15:00:00,2013-01-26 17:00:00,1169,0,0,0,0,13,14,2013-01-26 15:00:00
2013-01-26 22:00:00,2013-01-26 22:00:00,2013-01-27 19:00:00,1171,0,0,0,0,13,14,2013-01-26 22:00:00
2013-01-27 19:30:00,2013-01-27 19:30:00,2013-01-27 21:00:00,1173,0,0,0,0,13,14,2013-01-27 19:30:00
2013-01-27 21:30:00,2013-01-27 21:30:00,2013-01-28 20:30:00,1175,0,0,0,0,13,14,2013-01-27 21:30:00
2013-01-29 08:30:00,2013-01-29 08:30:00,2013-01-29 23:30:00,1177,0,0,0,0,13,14,2013-01-29 08:30:00
2013-01-30 00:30:00,2013-01-30 00:30:00,2013-01-30 16:00:00,1179,0,0,0,0,13,45,2013-01-30 00:30:00
2013-01-31 21:30:00,2013-01-31 21:30:00,2013-02-01 03:30:00,1181,0,0,0,0,13,64,2013-01-31 21:30:00
2013-02-07 02:30:00,2013-02-07 02:30:00,2013-02-07 11:00:00,1183,0,0,0,0,1,25,2013-02-07 02:30:00
2013-02-07 22:00:00,2013-02-07 22:00:00,2013-02-07 23:30:00,1185,0,0,0,0,13,14,2013-02-07 22:00:00
2013-02-08 00:00:00,2013-02-08 00:00:00,2013-02-08 10:00:00,1187,0,0,0,0,13,14,2013-02-08 00:00:00
2013-02-08 10:30:00,2013-02-08 10:30:00,2013-02-08 11:00:00,1189,0,0,0,0,13,14,2013-02-08 10:30:00
2013-02-09 04:00:00,2013-02-09 04:00:00,2013-02-09 10:00:00,1191,0,0,0,0,1,14,2013-02-09 04:00:00
2013-02-09 12:30:00,2013-02-09 12:30:00,2013-02-09 14:30:00,1193,0,0,0,0,13,14,2013-02-09 12:30:00
2013-02-10 03:00:00,2013-02-10 03:00:00,2013-02-10 18:30:00,1195,0,0,0,0,13,14,2013-02-10 03:00:00
2013-02-10 19:00:00,2013-02-10 19:00:00,2013-02-13 16:00:00,1197,0,0,0,0,13,46,2013-02-10 19:00:00
2013-02-14 02:30:00,2013-02-14 02:30:00,2013-02-14 16:00:00,1199,0,0,0,0,13,38,2013-02-14 02:30:00
2013-02-16 19:30:00,2013-02-16 19:30:00,2013-02-17 03:00:00,1201,0,0,0,0,1,43,2013-02-16 19:30:00
2013-02-20 04:30:00,2013-02-20 04:30:00,2013-02-23 02:00:00,1203,0,0,0,0,1,58,2013-02-20 04:30:00
2013-02-24 19:30:00,2013-02-24 19:30:00,2013-02-25 20:00:00,1205,0,0,0,0,1,14,2013-02-24 19:30:00
2013-02-27 05:30:00,2013-02-27 05:30:00,2013-02-27 16:30:00,1207,0,0,0,0,1,39,2013-02-27 05:30:00
2013-02-28 16:30:00,2013-02-28 16:30:00,2013-03-01 04:30:00,1209,0,0,0,0,10,49,2013-02-28 16:30:00
2013-03-04 19:30:00,2013-03-04 19:30:00,2013-03-04 21:30:00,1211,0,0,0,0,1,13,2013-03-04 19:30:00
2013-03-07 01:30:00,2013-03-07 01:30:00,2013-03-13 02:30:00,1213,0,0,0,0,1,56,2013-03-07 01:30:00
2013-03-16 02:30:00,2013-03-16 02:30:00,2013-03-16 15:30:00,1215,0,0,0,0,1,35,2013-03-16 02:30:00
2013-03-21 14:30:00,2013-03-21 14:30:00,2013-01-16 09:30:00,1216,0,0,0,0,68,72,2013-03-21 14:30:00
2013-01-17 05:00:00,2013-01-17 05:00:00,2013-03-11 16:00:00,1218,0,0,0,0,1,48,2013-01-17 05:00:00
2013-03-12 03:00:00,2013-03-12 03:00:00,2013-01-02 16:30:00,1220,0,0,0,0,37,65,2013-03-12 03:00:00
2013-01-03 15:00:00,2013-01-03 15:00:00,2013-01-08 02:30:00,1222,0,0,0,0,1,58,2013-01-03 15:00:00
2013-01-09 14:30:00,2013-01-09 14:30:00,2013-01-09 22:30:00,1224,0,0,0,0,13,14,2013-01-09 14:30:00
2013-01-09 23:00:00,2013-01-09 23:00:00,2013-01-11 03:00:00,1226,0,0,0,0,13,45,2013-01-09 23:00:00
2013-01-29 21:00:00,2013-01-29 21:00:00,2013-02-06 16:00:00,1228,0,0,0,0,7,61,2013-01-29 21:00:00
2013-02-09 03:00:00,2013-02-09 03:00:00,2013-02-09 07:00:00,1230,0,0,0,0,1,14,2013-02-09 03:00:00
2013-02-09 07:30:00,2013-02-09 07:30:00,2013-02-09 08:30:00,1232,0,0,0,0,13,14,2013-02-09 07:30:00
2013-02-09 09:00:00,2013-02-09 09:00:00,2013-02-10 04:30:00,1234,0,0,0,0,13,62,2013-02-09 09:00:00
2013-03-16 00:00:00,2013-03-16 00:00:00,2013-03-21 03:30:00,1236,0,0,0,0,14,66,2013-03-16 00:00:00
2013-03-22 05:30:00,2013-03-22 05:30:00,2013-03-23 01:30:00,1238,0,0,0,0,13,14,2013-03-22 05:30:00
2013-03-23 02:00:00,2013-03-23 02:00:00,2013-03-23 02:30:00,1240,0,0,0,0,13,14,2013-03-23 02:00:00
2013-03-23 03:00:00,2013-03-23 03:00:00,2013-03-23 17:00:00,1242,0,0,0,0,13,63,2013-03-23 03:00:00
2013-04-09 20:30:00,2013-04-09 20:30:00,2013-05-02 15:30:00,1244,0,0,0,0,14,27,2013-04-09 20:30:00
2013-05-03 16:30:00,2013-05-03 16:30:00,2013-01-03 16:00:00,1246,0,0,0,0,14,47,2013-05-03 16:30:00
2013-01-09 04:30:00,2013-01-09 04:30:00,2013-01-12 11:30:00,1248,0,0,0,0,1,56,2013-01-09 04:30:00
2013-01-14 21:30:00,2013-01-14 21:30:00,2013-01-15 00:00:00,1250,0,0,0,0,1,4,2013-01-14 21:30:00
2013-01-19 00:00:00,2013-01-19 00:00:00,2013-01-19 17:30:00,1252,0,0,0,0,1,55,2013-01-19 00:00:00
2013-01-21 21:30:00,2013-01-21 21:30:00,2013-01-23 04:00:00,1254,0,0,0,0,1,65,2013-01-21 21:30:00
2013-02-08 15:00:00,2013-02-08 15:00:00,2013-02-10 03:00:00,1256,0,0,0,0,1,67,2013-02-08 15:00:00
2013-02-10 16:00:00,2013-02-10 16:00:00,2013-02-13 16:00:00,1258,0,0,0,0,27,58,2013-02-10 16:00:00
2013-02-13 17:30:00,2013-02-13 17:30:00,2013-02-14 04:30:00,1260,0,0,0,0,52,73,2013-02-13 17:30:00
2013-02-14 16:00:00,2013-02-14 16:00:00,2013-02-14 17:30:00,1262,0,0,0,0,45,46,2013-02-14 16:00:00
