"who","heading","birthday","origin","destination","deathday","id","systemtime"
"762335",90,1936,"38","74",1968,"2884",16
"76336",90,162,"5","74",214,"2808",26
"76337",270,163,"32","28",164,"2033",0.5
"766202",270,1942,"62","29",1953,"2324",5.5
"770058",90,1957,"37","74",2000,"763",21.5
"773964",90,1960,"2","70",2035,"2113",37.5
"781766",270,1980,"74","38",1995,"1468",7.5
"781767",90,1983,"11","74",2062,"1557",39.5
"781768",270,1983,"13","2",1985,"1959",1
"781769",90,1986,"29","74",2033,"2585",23.5
"789480",270,2008,"74","12",2038,"764",15
"793261",270,2013,"74","29",2036,"2586",11.5
"797098",90,2027,"70","74",2029,"2827",1
"801000",270,2030,"74","40",2041,"286",5.5
"801001",90,2033,"11","74",2111,"302",39
"801002",270,2034,"74","9",2063,"2885",14.5
"801004",270,2037,"68","56",2039,"2116",1
"804875",90,2045,"56","58",2046,"2117",0.5
"804877",270,2047,"58","41",2051,"2118",2
"808720",90,2054,"9","73",2130,"2886",38
"808721",270,2054,"24","19",2055,"160",0.5
"812627",270,2061,"74","56",2066,"374",2.5
"816475",270,2075,"57","3",2099,"378",12
"820286",90,2080,"17","23",2083,"2416",1.5
"820287",270,2082,"74","25",2103,"1560",10.5
"820288",270,2083,"23","2",2095,"2417",6
"820289",90,2084,"15","19",2086,"257",1
"824130",90,2090,"61","62",2091,"2232",0.5
"824132",270,2098,"74","29",2118,"2829",10
"827918",270,2101,"62","37",2106,"2326",2.5
"827919",90,2102,"8","39",2141,"2069",19.5
"827921",90,2105,"2","30",2132,"2418",13.5
"827921",90,2105,"2","30",2134,"2418",14.5
"827922",270,2107,"74","25",2124,"1241",8.5
"835703",90,2127,"19","33",2139,"161",6
"835704",90,2128,"29","30",2129,"2830",0.5
"839581",90,2131,"29","74",2185,"2420",27
"839582",270,2131,"33","10",2139,"162",4
"839583",270,2138,"62","24",2148,"2235",5
"843509",90,2149,"4","74",2276,"1469",63.5
"855166",90,2175,"25","74",2235,"1242",30
"862957",270,2196,"41","30",2198,"2070",1
"870648",270,2211,"74","12",2243,"1470",16
"874509",90,2222,"27","71",2277,"1964",27.5
"874510",90,2225,"14","28",2238,"2832",6.5
"878392",270,2231,"74","32",2250,"2328",9.5
"878393",270,2238,"28","7",2249,"2833",5.5
"882219",270,2240,"74","2",2270,"534",15
"882220",90,2246,"32","73",2317,"2329",35.5
"882221",270,2249,"71","27",2268,"1965",9.5
"886117",270,2258,"74","35",2274,"1243",8
"893883",90,2272,"2","74",2345,"2658",36.5
"901669",90,2293,"35","74",2322,"1244",14.5
