"who","heading","birthday","origin","destination","deathday","id","systemtime"
"606505",90,1530,"37","74",1558,"2315",14
"621962",270,1573,"22","11",1579,"1732",3
"621963",90,1574,"3","68",1640,"2395",33
"625774",270,1589,"74","8",1617,"1064",14
"629585",270,1590,"74","38",1605,"2316",7.5
"629587",270,1599,"20","6",1602,"878",1.5
"633468",90,1603,"38","68",1634,"2317",15.5
"637296",270,1616,"71","38",1628,"1647",6
"637297",270,1617,"74","19",1641,"2442",12
"641158",90,1621,"11","55",1672,"1733",25.5
"641159",90,1624,"8","74",1691,"1065",33.5
"645022",90,1636,"67","74",1663,"2397",13.5
"645023",270,1639,"62","30",1649,"1894",5
"64620",90,137,"23","69",182,"2427",22.5
"648845",90,1641,"67","74",1653,"2319",6
"648846",270,1644,"55","29",1655,"1734",5.5
"648847",90,1647,"19","74",1705,"2443",29
"652683",90,1650,"29","33",1652,"1735",1
"660409",90,1671,"30","62",1692,"1895",10.5
"660411",90,1678,"61","62",1679,"784",0.5
"664324",90,1688,"67","74",1696,"1786",4
"668195",270,1691,"74","36",1707,"2320",8
"675988",270,1717,"74","23",1736,"2398",9.5
"675989",90,1718,"2","31",1738,"1561",10
"683706",270,1731,"74","4",1768,"384",18.5
"683707",270,1736,"62","18",1746,"799",5
"68446",270,144,"74","19",166,"637",11
"687603",90,1744,"14","74",1796,"2016",26
"687604",270,1744,"31","17",1747,"1562",1.5
"691421",90,1757,"73","74",1758,"238",0.5
"695267",270,1764,"57","37",1768,"651",2
"695268",90,1765,"14","57",1816,"2253",25.5
"695269",270,1765,"74","50",1773,"1969",4
"695270",270,1766,"74","34",1783,"2444",8.5
"699161",270,1771,"74","32",1790,"453",9.5
"699162",90,1775,"23","74",1814,"2399",19.5
"703058",90,1782,"50","62",1793,"1970",5.5
"703059",270,1785,"74","11",1808,"239",11.5
"706895",90,1791,"15","29",1803,"1829",6
"710757",270,1803,"74","6",1832,"1066",14.5
"714596",90,1810,"55","74",1829,"2255",9.5
"714597",90,1812,"34","74",1856,"2445",22
"714598",90,1816,"6","25",1834,"951",9
"714599",270,1816,"29","8",1822,"1830",3
"718442",270,1828,"74","2",1861,"1787",16.5
"722294",90,1830,"61","74",1842,"1976",6
"722295",270,1838,"74","8",1863,"2060",12.5
"72302",90,159,"29","32",160,"1723",0.5
"726156",90,1841,"10","30",1859,"1854",9
"726158",90,1848,"73","74",1849,"2447",0.5
"733939",270,1862,"74","61",1864,"2017",1
"733940",90,1863,"5","31",1891,"1557",14
"733941",270,1863,"30","6",1872,"1855",4.5
"733942",270,1864,"74","61",1872,"1977",4
"737841",270,1874,"62","13",1893,"2021",9.5
"741738",270,1880,"74","38",1894,"2448",7
"741740",270,1884,"74","31",1902,"1251",9
"741742",90,1889,"3","28",1906,"1547",8.5
"741743",270,1889,"74","2",1919,"2258",15
"753319",90,1910,"8","48",1968,"2061",29
"753321",90,1913,"13","61",1961,"2022",24
"753322",270,1913,"26","10",1923,"956",5
"761058",270,1935,"74","18",1960,"386",12.5
"761059",90,1936,"38","74",1977,"2449",20.5
"761060",270,1936,"48","17",1947,"2062",5.5
"76138",90,162,"5","74",241,"2387",39.5
"76140",90,165,"61","62",166,"1918",0.5
"764932",270,1942,"62","29",1963,"1983",10.5
"768803",90,1957,"37","74",1990,"652",16.5
"772684",90,1960,"2","70",2007,"1788",23.5
"780496",270,1980,"74","4",2013,"1253",16.5
"780497",90,1983,"11","74",2041,"1323",29
"780498",270,1983,"13","2",1985,"1659",1
"780499",90,1986,"7","37",2019,"1039",16.5
